Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,113.839996,114.720001,112.800003,113.199997,113.026024,6284613
2021-06-02,113.440002,113.440002,112.080002,112.720001,112.546768,4992100
2021-06-03,111.919998,114.959999,111.519997,112.720001,112.546768,7895475
2021-06-04,113.279999,113.599998,110.879997,111.680000,111.508362,8008900
2021-06-07,112.000000,112.559998,110.879997,111.279999,111.108978,4668638
2021-06-08,111.760002,111.919998,109.760002,111.199997,111.029099,5515250
2021-06-09,110.160004,110.480003,109.360001,109.839996,109.671188,6970963
2021-06-10,110.480003,110.959999,108.720001,109.040001,108.872421,6229850
2021-06-11,109.199997,110.239998,108.559998,109.519997,109.351677,5295663
2021-06-14,110.239998,110.639999,107.279999,107.760002,107.594391,5678225
2021-06-15,107.599998,108.559998,106.480003,108.320000,108.153526,4753238
2021-06-16,108.000000,109.199997,106.320000,107.519997,107.354759,8766413
2021-06-17,107.279999,108.080002,103.279999,104.000000,103.840164,9626675
2021-06-18,102.720001,104.160004,102.000000,102.239998,102.082863,10258088
2021-06-21,103.120003,105.519997,102.879997,105.519997,105.357826,6744263
2021-06-22,104.959999,105.599998,103.519997,104.239998,104.079796,4783575
2021-06-23,104.160004,105.519997,103.519997,103.599998,103.440781,5459688
2021-06-24,104.480003,105.599998,103.360001,105.199997,105.038322,5977550
2021-06-25,105.279999,105.919998,104.800003,105.279999,105.198196,4264450
2021-06-28,105.279999,105.360001,102.320000,103.120003,103.039879,7723450
2021-06-29,104.480003,105.839996,103.680000,104.720001,104.638634,8649650
2021-06-30,105.199997,108.239998,104.400002,107.680000,107.596329,8568975
2021-07-01,108.639999,109.040001,106.879997,107.839996,107.756203,5836638
2021-07-02,108.320000,108.320000,106.480003,106.879997,106.796951,4144988
2021-07-06,106.239998,106.559998,102.559998,103.360001,103.279686,8829850
2021-07-07,103.040001,104.639999,101.919998,103.839996,103.759315,7632563
2021-07-08,101.839996,103.519997,100.879997,102.959999,102.879997,6727850
2021-07-09,104.080002,105.519997,103.519997,105.279999,105.198196,5165288
2021-07-12,104.480003,105.120003,103.199997,104.879997,104.798508,6969838
2021-07-13,104.720001,104.720001,103.040001,103.120003,103.039879,4926450
2021-07-14,103.040001,103.839996,101.760002,102.480003,102.400375,5588738
2021-07-15,101.519997,103.360001,100.559998,102.080002,102.000687,6423850
2021-07-16,102.400002,102.959999,100.160004,100.400002,100.321991,5695475
2021-07-19,97.519997,97.919998,94.559998,96.000000,95.925407,12362150
2021-07-20,96.080002,101.919998,95.919998,101.599998,101.521057,9390363
2021-07-21,102.320000,104.879997,102.160004,104.639999,104.558693,8440725
2021-07-22,104.400002,104.480003,101.599998,101.599998,101.521057,5427875
2021-07-23,102.400002,103.040001,101.040001,101.680000,101.600998,4722413
2021-07-26,101.279999,103.519997,101.040001,103.360001,103.279686,6728613
2021-07-27,106.639999,107.760002,102.400002,104.639999,104.558693,14930538
2021-07-28,105.199997,107.839996,104.320000,105.040001,104.958382,8571038
2021-07-29,105.519997,107.040001,104.720001,106.320000,106.237389,6784563
2021-07-30,105.279999,105.760002,103.360001,103.599998,103.519501,7507838
2021-08-02,104.480003,107.209999,100.430000,100.599998,100.521835,24885500
2021-08-03,100.199997,103.199997,98.110001,103.059998,102.979919,14440000
2021-08-04,101.809998,103.449997,101.459999,102.910004,102.830040,14144300
2021-08-05,103.000000,104.639999,102.519997,103.019997,102.939949,8130800
2021-08-06,103.360001,105.260002,103.360001,104.519997,104.438782,10984300
2021-08-09,103.559998,104.269997,102.029999,103.709999,103.629417,7954700
2021-08-10,103.809998,106.330002,103.199997,106.080002,105.997574,8056100
2021-08-11,106.209999,106.209999,103.820000,106.040001,105.957603,8305100
2021-08-12,106.190002,107.230003,105.239998,106.519997,106.437233,6398700
2021-08-13,106.500000,106.620003,104.580002,104.919998,104.838478,5617100
2021-08-16,104.230003,104.300003,102.239998,103.349998,103.269691,6916200
2021-08-17,102.540001,103.269997,100.360001,101.620003,101.541046,8177400
